Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RMEL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
106,0.0258445,0.00680274,0.0239727,0.0164101,0.00880745,0.00647327,0.00871927,0.00512409,0.00852648,0.00874068,0.0187183,0.013703,0.0130462,0.0116087,0.0115142,0.00199776,0.00516842,0.0174654,0.0328209,0.0269874,0.0189991,0.0133513,0.00987285,0.00500941,0.0152046,0.0166657,0.0078124,0.0089123,0.0173152,0.0163247,0.0189507,0.0113865,0.018692,0.0149028,0.0127593,0.0119543,0.0157153,0.0200864,0.0195761,0.0210956,0.0202497
107,0.0254522,0.00684122,0.0230842,0.0159309,0.00737858,0.00693276,0.00667684,0.00662015,0.0069852,0.00714708,0.0195987,0.0150834,0.0138651,0.0112097,0.010898,0.00170733,0.00656459,0.0168617,0.0293573,0.0250664,0.0174898,0.0126326,0.0100237,0.00956638,0.0149686,0.0156415,0.00740929,0.00845936,0.0177641,0.010959,0.0195284,0.0132875,0.0175154,0.0142278,0.0104991,0.0133043,0.0192763,0.0135742,0.0193978,0.0210838,0.0201972
108,0.0242009,0.00676885,0.0217917,0.0150187,0.00454364,0.00752854,0.00509081,0.00779787,0.0055252,0.00612586,0.0203612,0.0158838,0.0147695,0.00969619,0.00889099,0.00473524,0.0107721,0.0138277,0.0259221,0.0218211,0.0146418,0.0119152,0.00987107,0.0118221,0.014545,0.0142708,0.00705641,0.0078418,0.0185093,0.00683975,0.0199426,0.0141023,0.0152467,0.0132167,0.00881439,0.0149952,0.0217993,0.00805031,0.0186952,0.0204884,0.0196822
109,0.022405,0.00670531,0.0205278,0.013812,0.00180979,0.0080451,0.00438449,0.00845927,0.00446864,0.00530538,0.0207412,0.0162261,0.0152389,0.00720956,0.00665675,0.00761452,0.0158866,0.0105589,0.0230723,0.017952,0.0115053,0.0115236,0.00943852,0.0102687,0.0139266,0.0127603,0.00681541,0.00736463,0.0193158,0.00289787,0.0201873,0.0143547,0.0122927,0.0117539,0.00755839,0.0154791,0.0222081,0.00556628,0.017742,0.0195813,0.0190551
110,0.0205562,0.00673951,0.0194708,0.0125974,0.005062,0.00827488,0.00413305,0.00858068,0.00371112,0.00464454,0.0205014,0.016176,0.0150715,0.00424035,0.00816948,0.0103735,0.0213345,0.0121482,0.0209101,0.0141931,0.00912637,0.0115198,0.00889353,0.00656818,0.012962,0.0112165,0.00653709,0.00721921,0.0198916,0.00185381,0.0202595,0.0145818,0.00948967,0.0100731,0.00608577,0.0136354,0.020392,0.00622863,0.016786,0.0186078,0.0184514
111,0.0191412,0.00686112,0.0184297,0.0115566,0.00878289,0.00813826,0.00382462,0.00825342,0.00309245,0.00460525,0.0195274,0.0158846,0.0147144,0.00312549,0.0126877,0.0135614,0.0255766,0.0189814,0.0193205,0.0111909,0.00798992,0.0117892,0.0084619,0.00376957,0.0115821,0.00968528,0.00620916,0.00732495,0.0200236,0.00579481,0.020042,0.0148574,0.0080645,0.00897239,0.00418038,0.00985565,0.0170817,0.0083728,0.0159312,0.0176947,0.0177168
112,0.0184533,0.00686515,0.017091,0.010681,0.0110218,0.00763904,0.00334689,0.00762297,0.00261828,0.00528417,0.0178654,0.0152628,0.0146448,0.00497138,0.016976,0.0173176,0.0267901,0.0267468,0.0181201,0.00936384,0.0077776,0.0121586,0.00819627,0.00410762,0.00985668,0.0082352,0.00604375,0.00744885,0.0196396,0.00868557,0.0192806,0.0148833,0.0081001,0.00905301,0.00228709,0.00600322,0.0134875,0.0109319,0.0151061,0.0167479,0.0165419
113,0.0184646,0.00650392,0.0153621,0.0100218,0.0109113,0.00677216,0.00295327,0.00688959,0.00246204,0.00635202,0.0156815,0.0139825,0.0145555,0.00636244,0.0198266,0.019932,0.024747,0.0317543,0.0171144,0.00862836,0.007886,0.0124464,0.00799787,0.00502195,0.00793116,0.0070041,0.00630165,0.00748462,0.0188425,0.0100613,0.01779,0.0143488,0.0081082,0.00970488,0.00179874,0.00491874,0.0109612,0.0128941,0.0141167,0.0154972,0.0146826
114,0.0190036,0.00576419,0.0133829,0.0097588,0.00899031,0.00551435,0.00309291,0.00638897,0.00287724,0.00763021,0.0131435,0.0117758,0.013458,0.00623011,0.0209794,0.01924,0.020576,0.0314215,0.0161756,0.00848575,0.00804268,0.0124726,0.00792707,0.00545477,0.00598731,0.0060951,0.00691512,0.00762515,0.017925,0.00989758,0.0156931,0.0132146,0.00721054,0.0100536,0.00295231,0.00641411,0.0105714,0.0135028,0.0127196,0.0137083,0.0120726
115,0.0200028,0.00494982,0.0111864,0.0100194,0.00943741,0.00393258,0.00383968,0.0064937,0.0039125,0.00907545,0.0104337,0.008855,0.0108684,0.00507447,0.0206854,0.0151045,0.0156141,0.0262237,0.0150727,0.00841608,0.00818588,0.0121128,0.00827842,0.00583604,0.00423383,0.00532762,0.00743718,0.00829222,0.0172742,0.00891437,0.0133776,0.0118763,0.00571378,0.00987231,0.00431189,0.00825392,0.0122224,0.0125681,0.0106505,0.0112705,0.00882089
