Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LMT5,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RMEL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
449,0.0469086,0.0302026,0.038599,0.0422925,0.0453146,0.0462358,0.0394175,0.0372919,0.0609955,0.0476121,0.051077,0.0203832,0.038655,0.0428384,0.0388572,0.0296555,0.0367492,0.0371364,0.0417436,0.0429559,0.0460759,0.0443583,0.0320473,0.0428344,0.0382937,0.0430774,0.0410835,0.0360291,0.0562281,0.0393888,0.030876,0.0183779,0.0428068,0.0337404,0.0419276,0.04982,0.0512884,0.0447819,0.0528644,0.0419888,0.0484003,0.0409211
450,0.0475394,0.0312636,0.0387018,0.0429811,0.0474544,0.0472007,0.0403526,0.0383994,0.0621922,0.0496279,0.0553723,0.0202769,0.0411115,0.0459942,0.0394771,0.0292308,0.0345695,0.0370548,0.044489,0.043353,0.04611,0.0444052,0.0333183,0.0417568,0.0397787,0.0441013,0.04199,0.0374201,0.0563637,0.0400051,0.0331042,0.0206105,0.0443586,0.0345703,0.0424136,0.0521617,0.0531502,0.0459343,0.0516496,0.0427501,0.0509459,0.0412666
451,0.0480914,0.032301,0.0386038,0.0430946,0.0495074,0.0472944,0.0406842,0.03865,0.0627019,0.0511069,0.0589738,0.0200221,0.0421603,0.0480748,0.0389504,0.0302109,0.0334384,0.0370064,0.0467521,0.0439793,0.0451944,0.0438907,0.0342957,0.0412763,0.0417893,0.0440719,0.0423849,0.0383334,0.0563436,0.0404674,0.0348851,0.0225102,0.0460568,0.0352566,0.0427915,0.055758,0.0543804,0.0468273,0.04969,0.0428081,0.0525121,0.0412129
452,0.0485769,0.0331689,0.0382655,0.0430112,0.0516563,0.0468154,0.040607,0.038186,0.0625991,0.0518604,0.0629482,0.0197087,0.042054,0.0485943,0.0378738,0.0318291,0.0329087,0.0373937,0.0489843,0.0443907,0.0435224,0.043053,0.0348963,0.0416798,0.0437694,0.0433793,0.0423795,0.0386481,0.0561626,0.0406387,0.0364147,0.0239664,0.047421,0.0354951,0.0427927,0.0581631,0.0551527,0.0469927,0.0470369,0.0423427,0.0530672,0.040823
453,0.0491407,0.0338288,0.0378183,0.0427971,0.0539511,0.0460719,0.0402479,0.0373252,0.0619884,0.0517259,0.0677147,0.0194936,0.0415349,0.0480771,0.0369624,0.0334986,0.0324477,0.0384042,0.0515849,0.044027,0.0415982,0.0420996,0.0352791,0.0425858,0.0451249,0.0425988,0.0420902,0.0384384,0.0558211,0.0404677,0.0380321,0.0249639,0.0479503,0.0347172,0.042138,0.0581969,0.0555702,0.0465822,0.0437931,0.0416323,0.0528373,0.040319
454,0.0499521,0.0343661,0.0374406,0.0422855,0.0561559,0.0452828,0.0397129,0.036421,0.061097,0.0508323,0.0731243,0.0195605,0.0409538,0.0472206,0.0365919,0.0351763,0.0319546,0.039379,0.0552404,0.0428038,0.0399735,0.0411552,0.0356832,0.0433362,0.0453531,0.0421162,0.0416699,0.0380315,0.0553828,0.0400592,0.0400259,0.0255784,0.0472949,0.032714,0.0406253,0.0564862,0.0554241,0.0458751,0.0403282,0.040924,0.0521352,0.0399582
455,0.0511012,0.0349668,0.0372923,0.041394,0.0578607,0.0445863,0.0391507,0.0357105,0.0602175,0.0496048,0.079019,0.0200467,0.0400986,0.0461834,0.0369399,0.0370904,0.0317655,0.0396718,0.0607717,0.0412726,0.0388652,0.0402572,0.0363047,0.043595,0.0441562,0.0420257,0.0413084,0.0378183,0.054981,0.0395681,0.042409,0.0259749,0.0454215,0.0300261,0.0382219,0.0539549,0.0543318,0.0448502,0.0374518,0.0404253,0.0512454,0.0399156
456,0.0525529,0.0358533,0.0375177,0.0404006,0.0587723,0.0441008,0.038743,0.035305,0.0595727,0.0485427,0.0854745,0.0209359,0.0385913,0.0447158,0.0378628,0.0393454,0.0321724,0.0390558,0.0681366,0.0401124,0.0380921,0.0394767,0.0372604,0.0435045,0.0415909,0.0422376,0.0411048,0.0379765,0.0547274,0.039028,0.0449397,0.026384,0.0426327,0.027583,0.0351614,0.0507045,0.052149,0.0432808,0.0362177,0.040298,0.0503855,0.0401986
457,0.0541474,0.0371475,0.0381936,0.0397758,0.0588599,0.0438787,0.0386019,0.0352264,0.0592327,0.047988,0.0921388,0.0219888,0.0363922,0.042848,0.0389554,0.0418111,0.0329463,0.037591,0.0755644,0.0396412,0.0373437,0.0389491,0.0385762,0.0432963,0.0383836,0.0426181,0.0410356,0.0384358,0.0546464,0.0383693,0.0474401,0.0269993,0.0394655,0.0260569,0.0320615,0.0463852,0.0492219,0.041151,0.0371712,0.040602,0.0496875,0.040641
458,0.0556508,0.0387422,0.0392408,0.0397535,0.0582674,0.0438276,0.0387136,0.0354196,0.0591495,0.0480467,0.0974518,0.0228401,0.0340867,0.0413546,0.040315,0.0441046,0.0334776,0.0355883,0.0802481,0.0397976,0.0366209,0.0387707,0.0401647,0.0430047,0.0361779,0.0430617,0.0410293,0.0390253,0.0546974,0.037588,0.0500555,0.0277963,0.0366107,0.0258065,0.0299481,0.0412432,0.0461826,0.0388385,0.0397947,0.0412476,0.049187,0.0410177
459,0.0568522,0.0403183,0.0404046,0.0401388,0.0574638,0.0437882,0.038994,0.0357702,0.059234,0.0486157,0.0991635,0.0232577,0.0327588,0.0414195,0.0426281,0.0455473,0.0333706,0.033588,0.0802115,0.0402905,0.0363041,0.0389387,0.0418341,0.0425844,0.0369929,0.0435036,0.0410449,0.0396132,0.0548453,0.0368616,0.0532096,0.0284531,0.0348677,0.0272649,0.0299009,0.0364842,0.0435302,0.0367951,0.0430621,0.0420326,0.0488549,0.0412346
460,0.0576603,0.0415325,0.0413737,0.0404716,0.0573304,0.0437395,0.039382,0.0361735,0.0594031,0.0494459,0.0959265,0.0233028,0.0333821,0.0436627,0.0460637,0.0452602,0.0326868,0.0322087,0.0753719,0.0407305,0.0366498,0.0393735,0.0433657,0.0421027,0.041548,0.0439166,0.0411128,0.0401706,0.05511,0.0364917,0.0576282,0.0285032,0.0348978,0.0307136,0.032281,0.0332325,0.0415376,0.0353346,0.046423,0.0427522,0.0486571,0.0414101
461,0.0581303,0.042232,0.0419634,0.0403269,0.058182,0.0438812,0.0398725,0.0366217,0.0595962,0.0502443,0.0882062,0.0231787,0.0360687,0.047361,0.0497908,0.0427239,0.0318476,0.0320143,0.0671554,0.0408259,0.0374441,0.0399475,0.0446229,0.0417501,0.0483727,0.0443238,0.0413215,0.0407665,0.0555405,0.0367111,0.0639016,0.0276542,0.036805,0.0356121,0.0363467,0.0315191,0.0405408,0.0350548,0.0502177,0.0433,0.0485862,0.0417559
462,0.0583716,0.0424894,0.0421871,0.0395531,0.0590498,0.0444299,0.0404763,0.0371888,0.0597727,0.050776,0.0778609,0.022967,0.0400114,0.0506835,0.0527799,0.0385772,0.0315432,0.0334508,0.0577554,0.0405649,0.0382504,0.0404987,0.0455747,0.0416649,0.0550175,0.0447735,0.0417179,0.041469,0.0561029,0.0374888,0.0713121,0.0260476,0.0399469,0.0405399,0.0406442,0.0310032,0.0410227,0.0367306,0.0550674,0.0436515,0.0486214,0.0423598
463,0.0585283,0.0425612,0.0422783,0.0384591,0.0588781,0.0454399,0.0412747,0.0380191,0.0600058,0.0510189,0.067469,0.0226331,0.044248,0.0520333,0.0546028,0.0348371,0.0325325,0.0366671,0.0497614,0.0402469,0.0388318,0.0409546,0.0463375,0.0419053,0.0597817,0.0453988,0.0423382,0.042334,0.0567432,0.0386344,0.0780851,0.0242651,0.0431951,0.0440709,0.0438089,0.0317978,0.0433283,0.0404959,0.0608092,0.0438975,0.0487785,0.0431994
464,0.0586973,0.0426842,0.042495,0.0376102,0.0572178,0.0467417,0.0423531,0.0391871,0.0604119,0.051099,0.059394,0.0221799,0.048152,0.0512344,0.0554431,0.0336344,0.0350617,0.0411681,0.0455289,0.0401712,0.0391954,0.0413345,0.0470676,0.042425,0.0624564,0.0463119,0.0431763,0.0433443,0.0573864,0.0399096,0.0827646,0.0229407,0.0454519,0.045663,0.0451765,0.0341606,0.0473442,0.0454033,0.0661782,0.0441444,0.0490507,0.0441756
465,0.0589313,0.0429683,0.0430208,0.0374829,0.0538991,0.0481204,0.0437212,0.0406157,0.0610742,0.0512088,0.0541015,0.0217528,0.0515225,0.0496748,0.0558152,0.035498,0.0385019,0.0459001,0.0455449,0.0404321,0.0395142,0.0417306,0.0478986,0.0431387,0.0638393,0.047546,0.0442297,0.0444668,0.058048,0.0412027,0.0848219,0.0224968,0.0463517,0.045867,0.0450414,0.037951,0.0520262,0.0495049,0.0697856,0.0444936,0.0494174,0.0452339
466,0.059262,0.043391,0.0439802,0.0382156,0.0497969,0.0494896,0.0452792,0.0421113,0.0620245,0.051544,0.050082,0.021751,0.0544347,0.0493506,0.0563296,0.0393138,0.0417228,0.0496357,0.0479048,0.0410657,0.0400448,0.0423114,0.048896,0.0439841,0.0644384,0.0489764,0.0454472,0.0456417,0.0588097,0.0425098,0.0842945,0.0233608,0.046538,0.0458143,0.0445151,0.0423329,0.0552222,0.051209,0.0710639,0.0450083,0.0498398,0.0463621
467,0.0597008,0.0438458,0.0454254,0.0396061,0.0477776,0.0508067,0.0467937,0.0434339,0.0632187,0.0522059,0.0465136,0.0226987,0.0570743,0.0515676,0.0574451,0.0435666,0.0439664,0.0515485,0.0509186,0.0421764,0.0409925,0.0432614,0.0500269,0.0449729,0.0638044,0.0503456,0.046695,0.0467533,0.0597424,0.0438371,0.0815449,0.0258901,0.0472755,0.0466902,0.0451275,0.0461523,0.0553409,0.0509624,0.070539,0.045707,0.0502682,0.0475392
