Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LMT5,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RMEL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH3,RTOE,RUA1,RUA2,RUA3
31,0.0192804,0.0288326,0.0502608,0.0153114,0.0146104,0.00552347,0.00405076,0.00503384,0.00734409,0.0111433,0.0131495,0.0177961,0.0115485,0.0164081,0.00555982,0.0123872,0.0128326,0.00879726,0.0180701,0.00843059,0.00726367,0.0132295,0.0486546,0.0202727,0.0183811,0.00333943,0.00402331,0.00349596,0.00648668,0.00691908,0.0199371,0.0218037,0.00956538,0.00922089,0.00852108,0.00377252,0.00390268,0.0154303,0.00683384,0.00826004,0.0050452
32,0.0193478,0.0290643,0.0509196,0.0147292,0.0166827,0.00544095,0.00380285,0.00491642,0.0076799,0.0112739,0.0150759,0.0157906,0.0108322,0.0156911,0.00450272,0.00916005,0.0103411,0.0080205,0.0223251,0.00731237,0.00716816,0.010984,0.0496432,0.0200996,0.0174643,0.00299936,0.00350637,0.00352921,0.00710248,0.00707337,0.0158303,0.0202303,0.0125271,0.0124881,0.0105505,0.00288201,0.00541205,0.0122629,0.00624554,0.00716906,0.00420483
33,0.019052,0.0292469,0.0516516,0.0140478,0.0185433,0.00497377,0.003386,0.00485735,0.00822942,0.0114862,0.0175708,0.0135348,0.00999767,0.0153098,0.00369328,0.00576317,0.00795886,0.007396,0.0254106,0.00574797,0.00691903,0.00796236,0.0510934,0.0203588,0.0158179,0.00276742,0.00293093,0.00340672,0.00784645,0.00738914,0.012658,0.0184474,0.0141837,0.0147189,0.011909,0.00240031,0.00916867,0.00824715,0.00552174,0.00595692,0.00336365
34,0.0183956,0.0294091,0.0524713,0.0135878,0.0201511,0.00428861,0.00272863,0.00471259,0.00922809,0.0116995,0.0194451,0.0115718,0.00955781,0.0150276,0.00390604,0.0025748,0.00622664,0.00677315,0.0266941,0.00418209,0.00669539,0.00438383,0.0530653,0.0212908,0.0139956,0.00276975,0.0022819,0.00318076,0.00881388,0.00795636,0.0106054,0.0170793,0.013183,0.0140993,0.0113642,0.00251151,0.0127437,0.00603624,0.00484493,0.00482996,0.00312459
35,0.0175841,0.029611,0.0533696,0.0136777,0.0212785,0.00373074,0.00194737,0.00430167,0.0108852,0.0118609,0.020194,0.0106966,0.00976982,0.0145059,0.00517417,0.00223627,0.00661486,0.00649672,0.0261645,0.00345665,0.00701641,0.00328832,0.055524,0.0227922,0.0122665,0.00316931,0.00208639,0.00311708,0.0100995,0.00888685,0.0112678,0.016815,0.00935885,0.010482,0.00854715,0.00318268,0.0140144,0.00584766,0.00476906,0.00452054,0.00443257
36,0.0169632,0.0299539,0.0542359,0.0144755,0.0216437,0.00372175,0.00196415,0.00355219,0.0131226,0.0120006,0.0197619,0.011107,0.0104264,0.013509,0.00661854,0.00526348,0.00898504,0.00700815,0.0242474,0.00391147,0.00812707,0.00676529,0.0582383,0.0242891,0.0103768,0.00398956,0.00320374,0.00347323,0.0116396,0.0102304,0.0155938,0.0177429,0.00404929,0.00635737,0.00450849,0.0041805,0.0125879,0.00692043,0.00591897,0.00589321,0.00683307
37,0.0168008,0.0305173,0.0548561,0.0158652,0.0211009,0.00452773,0.00319685,0.00261805,0.015506,0.0120901,0.0182937,0.0119522,0.0111829,0.0119259,0.00756727,0.00858768,0.0116608,0.0080248,0.021529,0.0045681,0.00927172,0.00992371,0.0608048,0.0250099,0.00836094,0.00500496,0.00501624,0.00402343,0.0131644,0.0119439,0.0206733,0.0190347,0.000697502,0.00598137,0.00197521,0.00589297,0.0100328,0.0105704,0.00795861,0.00813129,0.00928096
38,0.0171365,0.0312788,0.0550419,0.017523,0.0196894,0.0059976,0.00464506,0.0019504,0.0174562,0.0119378,0.0159838,0.0126343,0.0118628,0.00969131,0.0078021,0.0117864,0.013886,0.00886906,0.018483,0.00481174,0.00948893,0.0114537,0.0627985,0.0244743,0.00699088,0.00590848,0.00671131,0.00433178,0.0143336,0.0138651,0.0239106,0.0195769,0.00270396,0.00680653,0.00248314,0.00864996,0.00849631,0.0147497,0.00996999,0.00994391,0.0110103
39,0.017755,0.0321008,0.0547648,0.0190506,0.0175809,0.00762653,0.00576124,0.00204265,0.0185423,0.011383,0.0130597,0.0133393,0.0124625,0.00683196,0.0076222,0.0144517,0.0157772,0.00921039,0.0153465,0.0047568,0.00856899,0.0114663,0.0639792,0.0228359,0.00690471,0.00647587,0.00782291,0.00423326,0.0149291,0.0156781,0.02471,0.018819,0.00190578,0.00558327,0.00219464,0.0117795,0.00879606,0.0174613,0.011155,0.0106679,0.0116863
40,0.0183286,0.0328187,0.0541665,0.0200426,0.0149988,0.00879566,0.00637761,0.00254676,0.0186709,0.0105448,0.00983394,0.0141734,0.0129326,0.00360534,0.00756026,0.0161732,0.0176315,0.00923554,0.0122242,0.00480814,0.00722221,0.0107216,0.064399,0.020816,0.00745568,0.00660975,0.00815014,0.00385106,0.0149289,0.0169346,0.024003,0.0171223,0.0017476,0.00455294,0.00296707,0.0141696,0.0106426,0.0186807,0.0110807,0.0103421,0.0114161
41,0.0186726,0.033352,0.0534415,0.0201796,0.0121809,0.00905734,0.006525,0.00289395,0.018083,0.00979314,0.00675629,0.0147308,0.0130482,0.00120985,0.00777346,0.0170187,0.0193911,0.00937751,0.00932788,0.00511677,0.00635881,0.00999192,0.0643463,0.01929,0.00779802,0.00633916,0.00774154,0.00334853,0.014446,0.0172315,0.0231561,0.0154362,0.0047587,0.00721064,0.00528201,0.0150144,0.0128585,0.0194405,0.00981294,0.00948324,0.0105373
42,0.0187985,0.0337293,0.0527401,0.0194042,0.00946231,0.0083605,0.00630382,0.00289874,0.0172084,0.00947862,0.00449858,0.0146423,0.0125833,0.00311922,0.00803554,0.017786,0.0206711,0.00973549,0.00708794,0.00540147,0.00599659,0.00962889,0.0641392,0.0187725,0.00796201,0.00580715,0.00684089,0.00273863,0.0136366,0.0164659,0.0229646,0.0145337,0.0068637,0.0102647,0.00686286,0.0143296,0.0139306,0.0204606,0.00782493,0.00866581,0.00933292
43,0.0187914,0.0340381,0.0520993,0.0179921,0.00738271,0.00703024,0.00578918,0.00273666,0.0164178,0.00965751,0.00430207,0.0139431,0.01164,0.00519751,0.00835476,0.0193257,0.0211521,0.0100092,0.00603719,0.00530764,0.00557175,0.00951068,0.0639567,0.0191728,0.00837108,0.005236,0.00576932,0.0019908,0.0126482,0.0149362,0.0233286,0.0145633,0.00721945,0.011431,0.00691501,0.0130795,0.0134588,0.0216718,0.00570938,0.00819914,0.00790969
44,0.0186735,0.0343236,0.0514682,0.0164111,0.00650314,0.00553584,0.005007,0.00293195,0.0158471,0.0101259,0.00616187,0.0129433,0.0107338,0.00657936,0.00908586,0.021578,0.0208576,0.00996097,0.00635022,0.00468629,0.00495117,0.00929313,0.0637916,0.0199893,0.00906751,0.00483535,0.00476719,0.00124002,0.0115996,0.0131717,0.0237361,0.0152059,0.00596591,0.0105111,0.00570296,0.0123041,0.0123001,0.022662,0.00388224,0.00806707,0.00629259
45,0.018402,0.0345296,0.0507831,0.0151085,0.00662687,0.00425667,0.00392671,0.00375733,0.0153949,0.0106355,0.00864212,0.0120575,0.0104976,0.00734559,0.0102271,0.0238454,0.0201437,0.00963333,0.00764846,0.00357086,0.00430339,0.00871022,0.063542,0.0206576,0.00980318,0.00469578,0.00392756,0.00101598,0.0105791,0.0116152,0.023785,0.0160729,0.00382999,0.00841077,0.00412229,0.0117606,0.011484,0.0231026,0.00248239,0.00811112,0.00458078
